City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Port Elizabeth,ZA,-33.92,25.57,60.8,38,47,5.82,scattered clouds,0.0,0.0
1,Hilo,US,19.73,-155.09,78.8,61,75,4.72,broken clouds,0.0,0.0
2,Provideniya,RU,64.38,-173.3,56.82,45,17,5.39,few clouds,0.0,0.0
3,Arraial Do Cabo,BR,-22.97,-42.03,70.63,78,0,6.8,clear sky,0.0,0.0
4,Busselton,AU,-33.65,115.33,60.01,42,0,9.42,clear sky,0.0,0.0
5,Yellowknife,CA,62.46,-114.35,66.2,39,40,11.41,scattered clouds,0.0,0.0
6,Qaqortoq,GL,60.72,-46.03,41.0,80,99,2.24,overcast clouds,0.0,0.0
7,Ushuaia,AR,-54.8,-68.3,35.6,87,99,6.93,overcast clouds,0.0,0.0
8,Dikson,RU,73.51,80.55,37.49,79,0,9.46,clear sky,0.0,0.0
9,Hobart,AU,-42.88,147.33,53.01,93,75,5.82,light intensity shower rain,0.0,0.0
10,Pangkalanbuun,ID,-2.68,111.62,82.6,89,49,4.88,moderate rain,2.21,0.0
11,Vaini,TO,-21.2,-175.2,75.2,78,75,8.05,broken clouds,0.0,0.0
12,Vila Franca Do Campo,PT,37.72,-25.43,66.2,77,75,12.75,broken clouds,0.0,0.0
13,Albany,US,42.6,-73.97,72.0,93,57,2.1,broken clouds,0.0,0.0
14,Nanortalik,GL,60.14,-45.24,38.1,91,100,15.99,overcast clouds,0.0,0.0
15,Cherskiy,RU,68.75,161.3,84.4,22,8,5.23,clear sky,0.0,0.0
16,Severo-Kurilsk,RU,50.68,156.12,42.44,90,100,17.0,overcast clouds,0.0,0.0
17,Pacific Grove,US,36.62,-121.92,57.2,87,90,2.8,overcast clouds,0.0,0.0
18,Mataura,NZ,-46.19,168.86,39.0,83,74,3.0,broken clouds,0.0,0.0
19,Bluff,NZ,-46.6,168.33,39.0,83,84,3.0,broken clouds,0.0,0.0
20,Republic,US,37.12,-93.48,70.0,88,75,5.82,broken clouds,0.0,0.0
21,Mariahu,IN,25.62,82.62,87.8,70,75,4.7,haze,0.0,0.0
22,Kavieng,PG,-2.57,150.8,85.41,69,25,6.78,scattered clouds,0.0,0.0
23,Rovaniemi,FI,66.5,25.72,53.6,54,0,5.82,clear sky,0.0,0.0
24,Rikitea,PF,-23.12,-134.97,75.42,80,94,14.56,overcast clouds,0.0,0.0
25,Dodola,ET,6.98,39.18,60.84,74,85,5.26,overcast clouds,0.0,0.0
26,Punta Arenas,CL,-53.15,-70.92,33.8,84,40,11.41,scattered clouds,0.0,0.0
27,Balabac,PH,7.99,117.06,87.57,63,90,6.06,overcast clouds,0.0,0.0
28,La Macarena,CO,2.18,-73.78,71.11,95,63,2.35,broken clouds,0.0,0.0
29,Carnarvon,AU,-24.87,113.63,73.4,60,0,10.29,clear sky,0.0,0.0
30,Jamestown,US,42.1,-79.24,62.6,93,1,0.74,clear sky,0.0,0.0
31,Thompson,CA,55.74,-97.86,42.8,100,90,6.93,light intensity drizzle,0.0,0.0
32,Ambunti,PG,-4.24,142.84,89.82,59,51,1.16,light rain,0.69,0.0
33,Kapaa,US,22.08,-159.32,78.8,74,75,19.46,broken clouds,0.0,0.0
34,Haines Junction,CA,60.75,-137.51,57.63,50,100,2.84,overcast clouds,0.0,0.0
