City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
1,Hilo,US,broken clouds,78.8,19.73,-155.09,Hilo Hawaiian Hotel
3,Arraial Do Cabo,BR,clear sky,70.63,-22.97,-42.03,Pousada Porto Praia
11,Vaini,TO,broken clouds,75.2,-21.2,-175.2,Keleti Beach Resort
13,Albany,US,broken clouds,72.0,42.6,-73.97,
20,Republic,US,broken clouds,70.0,37.12,-93.48,AmericInn by Wyndham Republic
24,Rikitea,PF,overcast clouds,75.42,-23.12,-134.97,Pension Maro'i
28,La Macarena,CO,broken clouds,71.11,2.18,-73.78,AGENCIA DE VIAJES Y TURISMO CRISTALES MACARENA
29,Carnarvon,AU,clear sky,73.4,-24.87,113.63,Hospitality Carnarvon
33,Kapaa,US,broken clouds,78.8,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
39,Ukwa,IN,overcast clouds,79.77,21.97,80.47,Chouksey Hotel & Rajat Transport
41,Avarua,CK,broken clouds,71.6,-21.21,-159.78,Paradise Inn
50,Geraldton,AU,clear sky,73.4,-28.77,114.6,Broadwater Mariner Resort
51,Bardiyah,LY,clear sky,77.05,31.76,25.09,بورتو بردية
54,Sao Filipe,CV,clear sky,75.18,14.9,-24.5,Tortuga B&B
63,Bambous Virieux,MU,shower rain,73.0,-20.34,57.76,Casa Tia Villa
68,Ilhabela,BR,clear sky,70.23,-23.78,-45.36,Ilha Flat Hotel
80,Caravelas,BR,clear sky,70.92,-17.71,-39.25,Pousada dos Navegantes
96,Sayaxche,GT,overcast clouds,70.29,16.52,-90.17,Hotel Los Maderos
107,Makakilo City,US,clear sky,78.8,21.35,-158.09,Marriott's Ko Olina Beach Club
110,Luanda,AO,mist,73.4,-8.84,13.23,EPIC SANA Luanda
113,Bria,CF,overcast clouds,71.51,6.54,21.99,
117,Hamilton,US,few clouds,72.0,39.18,-84.53,Six Acres Bed & Breakfast
122,Almaznyy,RU,few clouds,77.0,48.04,40.05,
128,Dali,CN,scattered clouds,79.84,25.7,100.18,Dali Travelling With Hostel
131,Itaueira,BR,clear sky,73.08,-7.6,-43.03,Hotel Pousada Luz
133,Honolulu,US,broken clouds,78.8,21.31,-157.86,Aston at the Executive Centre Hotel
134,Isangel,VU,few clouds,75.2,-19.55,169.27,Volcano Sea View Tree House
136,Palatka,US,mist,72.0,29.65,-81.64,Holiday Inn Express & Suites Palatka Northwest
138,Anan,JP,broken clouds,78.8,33.92,134.65,Royal Garden Hotel
139,Touros,BR,light rain,73.4,-5.2,-35.46,INN NEW HORIZON
145,Irbeyskoye,RU,few clouds,71.53,55.64,95.45,"Gostinitsa ""Agul"""
155,Udachnyy,RU,scattered clouds,78.8,66.42,112.4,Gostinitsa Vilyuy
158,Saint-Philippe,RE,broken clouds,75.2,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
159,Nhamunda,BR,few clouds,72.79,-2.19,-56.71,Pousada Da Praia
162,Zhicheng,CN,overcast clouds,75.0,30.3,111.5,Wangjiang Building
164,Portland,US,overcast clouds,72.0,45.52,-122.68,Portland Marriott City Center
165,Zheleznodorozhnyy,RU,few clouds,77.0,55.75,38.0,Hotel Dali
171,Gemena,CD,overcast clouds,74.05,3.25,19.77,Hôtel Goshen
177,Shimoda,JP,broken clouds,77.0,34.67,138.95,Shimoda Tokyu Hotel
180,Visby,SE,clear sky,71.01,57.64,18.3,Best Western Solhem Hotel Visby
186,Toora-Khem,RU,scattered clouds,75.33,52.47,96.11,
187,San Patricio,MX,clear sky,77.67,19.22,-104.7,Hotel Cabo Blanco
188,Orlik,RU,scattered clouds,70.36,52.52,99.83,Oka
194,Mayumba,GA,clear sky,71.98,-3.43,10.66,LIKWALE LODGE
198,Puerto Narino,CO,overcast clouds,72.39,-3.77,-70.38,Eware Refugio Amazonico
206,Puerto Ayora,EC,broken clouds,70.0,-0.74,-90.35,Finch Bay Galapagos Hotel
215,Veydelevka,RU,overcast clouds,72.61,50.15,38.45,Po Foto
218,Camocim,BR,clear sky,74.75,-2.9,-40.84,Hotel Ilha do Amor
220,Manicore,BR,broken clouds,73.4,-5.81,-61.3,Pousada da wanda
224,Tel Aviv-Yafo,IL,broken clouds,77.0,32.08,34.78,Ben Yehuda Apartments
230,Sobolevo,RU,scattered clouds,72.05,54.43,31.9,
235,Tambura,SS,clear sky,71.38,5.6,27.47,Guest hous Tambura
240,Nouadhibou,MR,clear sky,71.6,20.93,-17.03,El Medina
256,Shinichi,JP,broken clouds,79.0,34.55,133.27,石川旅館
265,Lujiang,CN,light rain,75.2,31.26,117.28,GreenTree Inn Hefei Lujiang County Jinjie 1 Express Hotel
276,Kahului,US,few clouds,78.8,20.89,-156.47,Maui Seaside Hotel
277,Kushima,JP,broken clouds,73.4,31.46,131.23,Hanaoka
280,Waspan,NI,clear sky,75.67,14.74,-83.97,Hostal casa de la rose
281,Alofi,NU,scattered clouds,75.2,-19.06,-169.92,Taloa Heights
282,Sao Joao Da Barra,BR,scattered clouds,70.34,-21.64,-41.05,Pousada Porto De Canoas
