City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Codrington,AU,2020-06-19 02:55:04,-38.27,141.97,60.48,59,31,19.42
1,Vaini,TO,2020-06-19 02:55:05,-21.2,-175.2,73.4,88,75,10.29
2,Busselton,AU,2020-06-19 02:55:05,-33.65,115.33,59.0,82,83,4.56
3,Bluff,NZ,2020-06-19 02:55:05,-46.6,168.33,46.58,68,0,7.11
4,Georgetown,MY,2020-06-19 02:52:28,5.41,100.34,84.2,88,20,3.36
5,Hermanus,ZA,2020-06-19 02:55:06,-34.42,19.23,64.99,41,0,7.0
6,Bethel,US,2020-06-19 02:55:06,41.37,-73.41,69.8,88,20,3.36
7,Bambous Virieux,MU,2020-06-19 02:55:07,-20.34,57.76,71.6,64,75,13.87
8,Tual,ID,2020-06-19 02:55:07,-5.67,132.75,81.36,81,7,19.93
9,Punta Arenas,CL,2020-06-19 02:50:38,-53.15,-70.92,37.4,100,100,8.05
10,New Norfolk,AU,2020-06-19 02:55:07,-42.78,147.06,46.0,84,100,2.1
11,Ostrovnoy,RU,2020-06-19 02:55:08,68.05,39.51,42.06,90,100,17.05
12,Barrow,US,2020-06-19 02:55:08,71.29,-156.79,46.4,70,75,10.29
13,Castro,BR,2020-06-19 02:50:37,-24.79,-50.01,57.34,95,44,4.9
14,Beringovskiy,RU,2020-06-19 02:55:08,63.05,179.32,50.95,55,3,4.38
15,Petropavlovsk-Kamchatskiy,RU,2020-06-19 02:55:09,53.05,158.65,51.8,76,40,13.42
16,San Jose,US,2020-06-19 02:53:19,37.34,-121.89,84.0,26,75,16.11
17,Coahuayana,MX,2020-06-19 02:55:09,18.73,-103.68,78.19,71,25,2.39
18,Bredasdorp,ZA,2020-06-19 02:55:09,-34.53,20.04,53.6,62,0,7.11
19,Nara,JP,2020-06-19 02:50:49,34.69,135.8,68.0,94,75,3.36
20,Rawatbhata,IN,2020-06-19 02:55:10,24.93,75.58,89.4,59,7,15.97
21,Yaransk,RU,2020-06-19 02:55:10,57.3,47.89,55.74,73,0,4.05
22,Chokurdakh,RU,2020-06-19 02:55:11,70.63,147.92,90.86,17,47,7.58
23,Aswan,EG,2020-06-19 02:55:11,24.09,32.91,77.77,29,0,12.19
24,Aasiaat,GL,2020-06-19 02:55:11,68.71,-52.87,33.8,90,5,6.22
25,Touros,BR,2020-06-19 02:55:12,-5.2,-35.46,71.6,100,75,2.24
26,Hobart,AU,2020-06-19 02:54:14,-42.88,147.33,50.0,76,75,1.12
27,Puerto El Triunfo,SV,2020-06-19 02:55:12,13.28,-88.55,77.0,94,20,1.12
28,Guerrero Negro,MX,2020-06-19 02:50:31,27.98,-114.06,63.57,81,0,17.94
29,Carnarvon,AU,2020-06-19 02:55:12,-24.87,113.63,66.2,59,0,11.41
30,Anadyr,RU,2020-06-19 02:55:13,64.75,177.48,68.0,30,100,11.18
31,Atuona,PF,2020-06-19 02:55:13,-9.8,-139.03,80.31,76,4,13.22
32,Yulara,AU,2020-06-19 02:52:55,-25.24,130.99,69.8,19,0,9.17
33,Rikitea,PF,2020-06-19 02:50:39,-23.12,-134.97,75.11,86,100,15.99
34,Coos Bay,US,2020-06-19 02:54:17,43.37,-124.22,66.99,82,1,18.34
35,Hasaki,JP,2020-06-19 02:55:14,35.73,140.83,68.0,94,75,11.41
36,Jamestown,US,2020-06-19 02:55:14,42.1,-79.24,71.6,53,1,4.7
37,Broken Hill,AU,2020-06-19 02:55:14,-31.95,141.43,69.8,32,0,17.22
38,Puerto Ayora,EC,2020-06-19 02:55:15,-0.74,-90.35,71.01,88,92,1.01
39,Ushuaia,AR,2020-06-19 02:55:15,-54.8,-68.3,33.8,74,61,2.24
40,Acapulco,MX,2020-06-19 02:54:25,16.86,-99.89,84.2,79,20,4.7
41,Viedma,AR,2020-06-19 02:55:15,-40.81,-63.0,57.29,46,100,22.08
42,Butaritari,KI,2020-06-19 02:55:15,3.07,172.79,83.44,66,74,5.86
43,Longyearbyen,SJ,2020-06-19 02:55:16,78.22,15.64,44.6,70,20,13.87
44,Itoman,JP,2020-06-19 02:55:16,26.12,127.67,87.8,89,75,14.99
45,Okhotsk,RU,2020-06-19 02:55:16,59.38,143.3,50.56,81,90,8.08
46,Road Town,VG,2020-06-19 02:55:17,18.42,-64.62,82.99,85,2,21.99
47,Qasigiannguit,GL,2020-06-19 02:55:17,68.82,-51.19,35.6,93,52,5.82
48,Vila Franca Do Campo,PT,2020-06-19 02:55:17,37.72,-25.43,64.4,68,75,2.95
49,Pacific Grove,US,2020-06-19 02:55:17,36.62,-121.92,69.8,52,1,4.7
50,Tuktoyaktuk,CA,2020-06-19 02:55:18,69.45,-133.04,44.6,87,20,10.29
51,Nome,US,2020-06-19 02:55:18,64.5,-165.41,53.6,81,40,9.17
52,Vila,PT,2020-06-19 02:50:39,42.03,-8.16,57.0,93,27,2.24
53,Saint-Philippe,RE,2020-06-19 02:55:18,-21.36,55.77,69.8,68,74,17.22
54,Weligama,LK,2020-06-19 02:55:19,5.97,80.42,83.68,80,22,12.71
55,Fairbanks,US,2020-06-19 02:55:19,64.84,-147.72,75.2,29,75,6.93
56,Avarua,CK,2020-06-19 02:55:19,-21.21,-159.78,73.4,64,59,10.29
57,Bathsheba,BB,2020-06-19 02:55:20,13.22,-59.52,82.4,78,40,19.46
58,Tasiilaq,GL,2020-06-19 02:52:15,65.61,-37.64,41.0,86,100,33.33
59,Kieta,PG,2020-06-19 02:55:20,-6.22,155.63,83.43,76,40,3.42
60,Werder,DE,2020-06-19 02:55:20,52.38,12.93,64.99,79,100,6.98
61,Qaanaaq,GL,2020-06-19 02:52:54,77.48,-69.36,28.94,93,0,1.88
62,Mahebourg,MU,2020-06-19 02:55:21,-20.41,57.7,71.6,64,75,13.87
63,Kapaa,US,2020-06-19 02:55:21,22.08,-159.32,82.4,65,75,16.11
64,Pontianak,ID,2020-06-19 02:55:21,-0.03,109.33,85.96,68,100,3.4
65,Nikolskoye,RU,2020-06-19 02:55:22,59.7,30.79,64.4,88,0,2.24
66,Mogadishu,SO,2020-06-19 02:55:22,2.04,45.34,77.25,85,98,14.58
67,Bom Jesus,BR,2020-06-19 02:50:33,-9.07,-44.36,68.45,68,1,2.77
68,Kavieng,PG,2020-06-19 02:55:22,-2.57,150.8,84.85,66,4,1.01
69,Santa Marta,CO,2020-06-19 02:55:23,11.24,-74.2,81.0,87,41,12.93
70,Yellowknife,CA,2020-06-19 02:55:23,62.46,-114.35,68.0,34,20,12.75
71,Kaeo,NZ,2020-06-19 02:55:23,-35.1,173.78,59.0,25,81,5.99
72,Sitka,US,2020-06-19 02:52:45,57.05,-135.33,53.6,87,90,16.11
73,Khatanga,RU,2020-06-19 02:55:24,71.97,102.5,57.38,51,75,14.74
74,Buin,CL,2020-06-19 02:55:24,-33.73,-70.75,46.4,93,90,4.7
75,Hilo,US,2020-06-19 02:52:52,19.73,-155.09,82.4,58,1,9.17
76,Mataura,NZ,2020-06-19 02:55:25,-46.19,168.86,46.63,69,0,3.51
